tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	387173	0	live	Mir155	Mirn155, mir-155, mmu-mir-155	microRNA 155		16	16	NC_000082.6	84714140	84714204	plus	1		
10090	Mus musculus	387140	0	live	Mir21a	Mir21, Mirn21, mmu-mir-21, mmu-mir-21a	microRNA 21a	microRNA 21	11	11	NC_000077.6	86584067	86584158	minus	1		
10090	Mus musculus	387164	0	live	Mir146	Mirn146, miR-146a, mmu-mir-146	microRNA 146	mmu-mir-146a	11	11	NC_000077.6	43374397	43374461	minus	1		
10090	Mus musculus	723848	0	live	Mir34a	Mirn34a, mir-34a, mmu-mir-34a	microRNA 34a	mir 34a	4	4	NC_000070.6	150068454	150068555	plus	1		
10090	Mus musculus	387231	0	live	Mir122	Mir122a, Mirn122a, mir-122, mmu-mir-122	microRNA 122	microRNA 122a|mmu-mir-122a	18	18	NC_000084.6	65248861	65248926	plus	1		
10090	Mus musculus	387163	0	live	Mir145a	Mir145, Mirn145, mir-145a, mmu-mir-145, mmu-mir-145a	microRNA 145a	microRNA 145	18	18	NC_000084.6	61647825	61647894	minus	1		
10090	Mus musculus	387222	0	live	Mir29a	Mirn29a, mir-29a, mmu-mir-29a	microRNA 29a		6	6	NC_000072.6	31062660	31062747	minus	1		
10090	Mus musculus	723814	0	live	Mir223	Mirn223, miR-223, mmu-mir-223	microRNA 223		X	X	NC_000086.7	96242817	96242926	plus	1		
10090	Mus musculus	387136	0	live	Mir1a-1	Mir1-1, Mirn1-1, Mirn1b, Mirn1c, Mirn1d, mir-1a-1, mmu-mir-1-1, mmu-mir-1a-1	microRNA 1a-1	microRNA 1-1|microRNA 1b|microRNA 1c|microRNA 1d	2	2	NC_000068.7	180389048	180389124	plus	1		
10090	Mus musculus	723905	0	live	Mir17	Mirn17, mir-17, mmu-mir-17	microRNA 17	mir 17	14	14	NC_000080.6	115043671	115043754	plus	1		
10090	Mus musculus	387150	0	live	Mir132	Mirn132, mir-132, mmu-mir-132	microRNA 132		11	11	NC_000077.6	75173682	75173747	plus	1		
10090	Mus musculus	387223	0	live	Mir29b-1	Mirn29b, Mirn29b-1, mir-29b-1	microRNA 29b-1	mmu-mir-29b-1	6	6	NC_000072.6	31063023	31063093	minus	1		
10090	Mus musculus	387151	0	live	Mir133a-1	Mirn133, Mirn133a-1, mir-133a-1	microRNA 133a-1	mmu-mir-133a-1	18	18	NC_000084.6	10782909	10782976	minus	1		
10090	Mus musculus	387161	0	live	Mir143	Mirn143, mir-143, mmu-mir-143	microRNA 143		18	18	NC_000084.6	61649196	61649258	minus	1		
10090	Mus musculus	387244	0	live	Mirlet7a-1	Let-7a, Mirnlet7a, Mirnlet7a-1, let-7a-1	microRNA let7a-1	mmu-let-7a-1	13	13	NC_000079.6	48538179	48538272	minus	1		
