tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	14910	0	live	Gt(ROSA)26Sor	AV258896, Gtrgeo26, Gtrosa26, R26, ROSA26	gene trap ROSA 26, Philippe Soriano	beta geo	6 52.73 cM	6	NC_000072.6	113067428	113077244	minus	3		
10090	Mus musculus	22059	0	live	Trp53	Tp53, bbl, bfy, bhy, p44, p53	transformation related protein 53	mutant p53|p53 cellular tumor antigen|tumor suppressor p53|tumor supressor p53	11 B2-C	11	NC_000077.6	69580359	69591873	plus	12		
10090	Mus musculus	11816	0	live	Apoe	AI255918, Apo-E	apolipoprotein E		7 9.94 cM	7	NC_000073.6	19696244	19699166	minus	4		
10090	Mus musculus	21926	0	live	Tnf	DIF, TNF-a, TNF-alpha, TNFSF2, TNFalphaa, Tnfsf1a, Tnf	tumor necrosis factor	cachectin|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha	17 18.59 cM	17	NC_000083.6	35199367	35202007	minus	4		
10090	Mus musculus	21898	0	live	Tlr4	Lps, Ly87, Ran/M1, Rasl2-8	toll-like receptor 4	Toll like receptor 4|lipopolysaccharide response	4 34.66 cM	4	NC_000070.6	66827811	66842797	plus	3		
10090	Mus musculus	15978	0	live	Ifng	IFN-g, Ifg	interferon gamma	IFN-gamma|gamma interferon	10 66.75 cM	10	NC_000076.6	118441047	118445892	plus	4		
10090	Mus musculus	16846	0	live	Lep	ob, obese	leptin	obesity factor	6 12.3 cM	6	NC_000072.6	29060195	29073877	plus	3		
10090	Mus musculus	16153	0	live	Il10	CSIF, Il-10	interleukin 10	cytokine synthesis inhibitory factor	1 56.89 cM	1	NC_000067.6	131019845	131024970	plus	5		
10090	Mus musculus	21803	0	live	Tgfb1	TGF-beta1, TGFbeta1, Tgfb, Tgfb-1	transforming growth factor, beta 1	TGF-beta 1|TGF-beta-1|regulatory protein|transforming growth factor-beta 1	7 13.98 cM	7	NC_000073.6	25687002	25704996	plus	7		
10090	Mus musculus	16193	0	live	Il6	Il-6	interleukin 6	B-cell hybridoma growth factor|interleukin HP-1	5 15.7 cM	5	NC_000071.6	30013161	30019968	plus	5		
