tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
7227	Drosophila melanogaster	31271	0	live	w	Dmel_CG2759, BACN33B1.1, CG2759, DMWHITE, Dmel\CG2759, EG:BACN33B1.1, Hid, W, c23, e(g), m(g), mw(AT)[[13]], w	white	CG2759-PA|enhancer of garnet|mini-white|modifier of garnet|w-PA|white[+]	1-1.5 cM	X	NC_004354.4	2790599	2796466	minus	6		
7227	Drosophila melanogaster	34009	0	live	wg	Dmel_CG4889, Br, CG4889, DWint-1, DWnt-1, Dint-1, Dm Wg, Dm-1, Dmel\CG4889, Gla, I, Sp, WG, WNT, Wg, Wnt, Wnt-1, Wnt/Wg, Wnt1, dWnt, fg, int-1, l(2)02657, l(2)rO727, l(2)wg, spdl, wnt, wnt1, wg	wingless	CG4889-PA|Wnt-1|bristled|complementation group I|flag|glazed|spade|sternopleural|wg-PA	2-21.9 cM	2L	NT_033779.5	7307159	7316265	plus	5		
7227	Drosophila melanogaster	31293	0	live	N	Dmel_CG3936, 1.1, 16-178, 16-55, Ax, CG3936, CT13012, Chp, Co, Dmel\CG3936, EG:140G11.1, EG:163A10.2ECD, NICD, RICN, anon-EST:Liang-1.12, clone 1.12, co, dNotch, fa, l(1)3Cb, l(1)Ax, l(1)N, n[fah], nd, notch, shd, spl, swb, N	Notch	CG3936-PA|CG3936-PB|N-PA|N-PB|NICD|abruptex|chopped|confluens|dNotch|facet|notch|notchoid|split|strawberry	1-3.0 cM	X	NC_004354.4	3134870	3172221	plus	9		
7227	Drosophila melanogaster	33432	0	live	dpp	Dmel_CG9885, BMP, CG9885, DPP, DPP-C, Dm-DPP, Dmel\CG9885, Dpp, Hin-d, M(2)23AB, M(2)LS1, TGF-b, TGF-beta, TGFbeta, Tg, blk, ho, l(2)10638, l(2)22Fa, l(2)k17036, shv	decapentaplegic	CG9885-PA|CG9885-PB|CG9885-PC|CG9885-PE|Decapentaplegic/Bone morphogenetic protein|Haplo-insufficient|blink|bone morphogenetic protein|bone morphogenic protein|dpp-PA|dpp-PB|dpp-PC|dpp-PE|heldout|shortvein|tegula	2-4.0 cM	2L	NT_033779.5	2428372	2459823	plus	6		
7227	Drosophila melanogaster	36240	0	live	en	Dmel_CG9015, 153867_at, Apa, CG9015, Dmel\CG9015, EN, En, EnR, Eng, Engr, Engrailed, Engrailed/Invected, Es, V1, spa2, spt, en	engrailed	CG9015-PA|CG9015-PB|ENGRAILED|apigmented abdomen|en-PA|en-PB|erased|invected|sparse SGPs 2|spermatheca|transcript group V	2-62.0 cM	2R	NT_033778.4	11524006	11528210	minus	3		
7227	Drosophila melanogaster	3771877	0	live	Adh	Dmel_CG3481, ADH3, BG:DS01486.8, CG32954, CG3481, DM-ADH, DmADH, Dmel\CG3481, Dreg-1, Reg-1, T16, adh, dADH, Adh	Alcohol dehydrogenase	Adh-PC|Adh-PE|Adh-PF|Adh-PH|Adh-PI|CG3481-PC|CG3481-PE|CG3481-PF|CG3481-PH|CG3481-PI|alcohol dehydrogenase|alcohol dehyrdrogenase|alcoholdehydrogenase|drosophila rhythmically expressed gene 1	2-50.1 cM	2L	NT_033779.5	14615552	14618902	plus	6		
7227	Drosophila melanogaster	42034	0	live	Ubx	Dmel_CG10388, BX-C, Bxl, CG10388, Cbx, DUbx, Dm Ubx, DmUbx, Dmel\CG10388, Hm, UBX, UBx, Uab1b, abx, bx, bx[D], bxd, bxd[D], bxl, l(3)89Eb, pbx, ubx, Ubx	Ultrabithorax	CG10388-PA|CG10388-PB|CG10388-PC|CG10388-PD|CG10388-PE|CG10388-PF|Ubx-PA|Ubx-PB|Ubx-PC|Ubx-PD|Ubx-PE|Ubx-PF|anterobithorax|bithorax|bithorax complex|bithoraxoid|contrabithorax|haltere mimic|postbithorax|ultabithorax|ultarbithorax|ultraabdominal|ultrabithorax	3-58.8 cM	3R	NT_033777.3	16656623	16734426	minus	4		
7227	Drosophila melanogaster	31151	0	live	arm	Dmel_CG11579, ARM, Arm, CG11579, Dm Arm, Dmel\CG11579, EG:86E4.6, beta-Cat, beta-cat, beta-cat-arm, beta-catenin, beta-catenin/Arm, betacat, bgr;-Cat, l(1)2Bv, l(1)G0192, l(1)G0234, l(1)G0410, l(1)arm, t12687 ALR Dm	armadillo	Armadillo(Arm)/beta-catenin|Armadillo/beta-catenin|Armadillo/bgr;-catenin|Beta-catenin/Arm|CG11579-PA|CG11579-PB|CG11579-PC|CG11579-PD|CG11579-PE|CG11579-PF|alpha-Catenin|arm-PA|arm-PB|arm-PC|arm-PD|arm-PE|arm-PF|b-catenin|beta-Catenin|beta-catenin/Armadillo|betacatenin|bgr;-catenin|catenin	1-1.2 cM	X	NC_004354.4	1891401	1900646	minus	9		
7227	Drosophila melanogaster	31251	0	live	per	Dmel_CG2647, CG2647, Clk, Dmel\CG2647, EG:155E2.4, PER, Per, clk-6, dPER, dmper, dper, mel_per	period	CG2647-PA|CG2647-PB|PERIOD|clock|clock-6|dperiod|per-PA|per-PB|period clock protein	3B1-3B2	X	NC_004354.4	2685580	2692780	plus	8		
7227	Drosophila melanogaster	31000	0	live	elav	Dmel_CG4262, 44C11, 9F8A9, CG4262, Dmel\CG4262, EC7, EG:65F1.2, ELAV, END1-2, ElaV, Elav, Elav-9F8A9-1, elav-2, elav-3, fliJ, l(1)1Be, l(1)EC7, l(1)G0031, l(1)G0319, weg, elav	embryonic lethal abnormal vision	CG4262-PA|CG4262-PB|CG4262-PC|CG4262-PD|elav-PA|elav-PB|elav-PC|elav-PD|embryonic lethal abnormal visual system|embryonic lethal, abnormal vision|weniger	1B7-1B8	X	NC_004354.4	509235	523226	minus	4		
