tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	387173	0	live	Mir155	Mirn155, mir-155, mmu-mir-155	microRNA 155		16 C3.3	16	NC_000082.7	84511028	84511092	plus	1		
10090	Mus musculus	387140	0	live	Mir21a	Mir21, Mirn21, mmu-mir-21, mmu-mir-21a	microRNA 21a	microRNA 21	11 C	11	NC_000077.7	86474893	86474984	minus	1		
10090	Mus musculus	387164	0	live	Mir146	Mirn146, miR-146a, mmu-mir-146	microRNA 146	mmu-mir-146a	11	11	NC_000077.7	43265224	43265288	minus	1		
10090	Mus musculus	723848	0	live	Mir34a	Mirn34a, mir-34a, mmu-mir-34a	microRNA 34a	mir 34a	4 E2	4	NC_000070.7	150152911	150153012	plus	1		
10090	Mus musculus	723814	0	live	Mir223	Mirn223, miR-223, mmu-mir-223	microRNA 223		X C3	X	NC_000086.8	95286423	95286532	plus	1		
10090	Mus musculus	387222	0	live	Mir29a	Mirn29a, mir-29a, mmu-mir-29a	microRNA 29a		6 A3.3	6	NC_000072.7	31039595	31039682	minus	1		
10090	Mus musculus	387231	0	live	Mir122	Mir122ab, Mirn122a, Mirn122b, mir-122, mmu-mir-122, Mir122	microRNA 122	microRNA 122a|microRNA 122b|mmu-mir-122a	18 E1	18	NC_000084.7	65381932	65381997	plus	1		
10090	Mus musculus	387163	0	live	Mir145a	Mir145, Mirn145, mir-145a, mmu-mir-145, mmu-mir-145a	microRNA 145a	microRNA 145	18	18	NC_000084.7	61780896	61780965	minus	1		
10090	Mus musculus	387150	0	live	Mir132	Mirn132, mir-132, mmu-mir-132	microRNA 132		11 B5	11	NC_000077.7	75064508	75064573	plus	1		
10090	Mus musculus	387210	0	live	Mir214	Mirn214, mir-214, mmu-mir-214	microRNA 214		1 H2.1	1	NC_000067.7	162050937	162051046	plus	1		
10090	Mus musculus	387223	0	live	Mir29b-1	Mirn29b, Mirn29b-1, mir-29b-1	microRNA 29b-1	mmu-mir-29b-1	6 A3.3	6	NC_000072.7	31039958	31040028	minus	1		
10090	Mus musculus	387168	0	live	Mir150	Mirn150, mir-150, mmu-mir-150	microRNA 150		7 B3	7	NC_000073.7	44771181	44771245	plus	1		
10090	Mus musculus	387244	0	live	Mirlet7a-1	Let-7a, Mirnlet7a, Mirnlet7a-1, let-7a-1	microRNA let7a-1	mmu-let-7a-1	13 A5	13	NC_000079.7	48691655	48691748	minus	1		
10090	Mus musculus	387161	0	live	Mir143	Mirn143, mir-143, mmu-mir-143	microRNA 143		18	18	NC_000084.7	61782267	61782329	minus	1		
10090	Mus musculus	387145	0	live	Mir126a	Mir126, Mirn126, mir-126a, mmu-mir-126, mmu-mir-126a	microRNA 126a	microRNA 126	2 A3	2	NC_000068.8	26481369	26481441	plus	1		
10090	Mus musculus	387160	0	live	Mir142	Mirn142, miR-142, mir-142a, mmu-mir-142, mmu-mir-142a	microRNA 142		11	11	NC_000077.7	87647690	87647753	plus	1		
10090	Mus musculus	387218	0	live	Mir26a-1	Mirn26a, Mirn26a-1, miR-26a, mir-26a-1	microRNA 26a-1	mmu-mir-26a-1	9 F3	9	NC_000075.7	118860864	118860953	plus	1		
10090	Mus musculus	387236	0	live	Mir125b-1	Mirn125b, Mirn125b-1, mir-125b-1	microRNA 125b-1	mmu-mir-125b-1	9 A5.1	9	NC_000075.7	41493222	41493298	plus	1		
10090	Mus musculus	723905	0	live	Mir17	Mirn17, mir-17, mmu-mir-17	microRNA 17	mir 17	14 E4	14	NC_000080.7	115281103	115281186	plus	1		
10090	Mus musculus	387177	0	live	Mir182	Mirn182, mir-182, mmu-mir-182	microRNA 182		6 A3.3	6	NC_000072.7	30165917	30165991	minus	1		
10090	Mus musculus	387202	0	live	Mir206	Mirn206, mmu-mir-206	microRNA 206	miR-206	1 A4	1	NC_000067.7	20749234	20749306	plus	1		
10090	Mus musculus	387141	0	live	Mir22	Mirn22, mmu-mir-22	microRNA 22		11 B5	11	NC_000077.7	75354542	75354636	plus	1		
10090	Mus musculus	387176	0	live	Mir181a-2	Mirn181, Mirn181a, Mirn181a-2, miR-181, mir-181a, mir-181a-2	microRNA 181a-2	microRNA mir-181a-2|mmu-mir-181a|mmu-mir-181a-2	2	2	NC_000068.8	38742747	38742822	plus	1		
10090	Mus musculus	387220	0	live	Mir27a	Mirn27a, mir-27a, mmu-mir-27a	microRNA 27a		8 C2	8	NC_000074.7	84935301	84935387	plus	1		
10090	Mus musculus	387206	0	live	Mir210	Mirn210, mir-210, mmu-mir-210	microRNA 210		7 F5	7	NC_000073.7	140801297	140801406	minus	1		
10090	Mus musculus	387151	0	live	Mir133a-1	Mirn133, Mirn133a-1, mir-133a-1	microRNA 133a-1	mmu-mir-133a-1	18 A1	18	NC_000084.7	10782909	10782976	minus	1		
10090	Mus musculus	723889	0	live	Mir378a	Mir378, Mirn378, mmu-mir-378, mmu-mir-378a	microRNA 378a	microRNA 378	18 E1	18	NC_000084.7	61530906	61530971	minus	1		
10090	Mus musculus	387216	0	live	Mir23a	Mirn23a, mir-23a, mmu-mir-23a	microRNA 23a		8 C2	8	NC_000074.7	84935147	84935221	plus	1		
10090	Mus musculus	387134	0	live	Mir16-1	Mirn16, Mirn16-1, miR-16, mir-16-1	microRNA 16-1	mmu-mir-16-1	14 D1	14	NC_000080.7	61869329	61869421	minus	1		
10090	Mus musculus	387235	0	live	Mir125a	Mirn125a	microRNA 125a	mmu-mir-125a	17 A3.2	17	NC_000083.7	18051074	18051141	plus	1		
